Date,Price,Open,High,Low,Volume,Change %
02/16/2022,"1,591.25","1,557.25","1,593.25","1,551.50",79.39K,2.28%
02/15/2022,"1,555.75","1,573.25","1,581.00","1,546.25",101.38K,-1.16%
02/14/2022,"1,574.00","1,589.75","1,602.50","1,555.75",84.62K,-0.77%
02/11/2022,"1,586.25","1,575.25","1,597.25","1,566.50",114.73K,0.62%
02/10/2022,"1,576.50","1,595.00","1,634.50","1,567.75",142.97K,-1.19%
02/09/2022,"1,595.50","1,573.50","1,598.75","1,569.25",119.21K,1.46%
02/08/2022,"1,572.50","1,588.75","1,590.50","1,563.25",107.48K,-0.87%
02/07/2022,"1,586.25","1,573.50","1,592.75","1,567.25",99.84K,1.85%
02/04/2022,"1,557.50","1,547.00","1,562.00","1,535.75",69.92K,0.68%
02/03/2022,"1,547.00","1,548.00","1,562.00","1,533.75",60.94K,-0.16%
02/02/2022,"1,549.50","1,533.25","1,568.25","1,531.75",85.94K,0.99%
02/01/2022,"1,534.25","1,494.75","1,543.25","1,490.00",80.29K,2.61%
01/31/2022,"1,495.25","1,479.00","1,501.50","1,479.00",48.13K,1.36%
01/28/2022,"1,475.25","1,451.50","1,484.50","1,446.25",79.06K,1.46%
01/27/2022,"1,454.00","1,442.00","1,461.75","1,435.50",53.48K,0.48%
01/26/2022,"1,447.00","1,414.50","1,450.25","1,402.50",50.70K,2.19%
01/25/2022,"1,416.00","1,413.00","1,422.00","1,401.75",36.18K,0.35%
01/24/2022,"1,411.00","1,428.00","1,432.00","1,390.25",41.54K,-0.84%
01/21/2022,"1,423.00","1,428.50","1,434.50","1,413.75",34.28K,-0.80%
01/20/2022,"1,434.50","1,397.75","1,437.25","1,397.00",48.77K,2.41%
01/19/2022,"1,400.75","1,372.75","1,401.75","1,372.75",30.94K,2.17%
01/18/2022,"1,371.00","1,370.00","1,378.50","1,359.50",35.77K,0.09%
01/14/2022,"1,369.75","1,376.75","1,380.00","1,363.75",86.05K,-0.54%
01/13/2022,"1,377.25","1,399.00","1,399.00","1,370.75",109.59K,-1.57%
01/12/2022,"1,399.25","1,384.75","1,401.00","1,366.50",118.60K,0.92%
01/11/2022,"1,386.50","1,386.50","1,395.00","1,372.50",97.94K,0.13%
01/10/2022,"1,384.75","1,404.50","1,409.75","1,379.00",120.55K,-1.81%
01/07/2022,"1,410.25","1,388.00","1,415.00","1,376.00",129.91K,1.66%
01/06/2022,"1,387.25","1,390.50","1,393.75","1,370.00",99.49K,-0.54%
01/05/2022,"1,394.75","1,389.00","1,399.00","1,381.50",96.17K,0.36%
01/04/2022,"1,389.75","1,356.00","1,392.25","1,355.50",122.66K,2.53%
01/03/2022,"1,355.50","1,349.00","1,368.50","1,342.00",90.23K,1.21%
12/31/2021,"1,339.25","1,339.25","1,348.50","1,336.50",58.17K,0.06%
12/30/2021,"1,338.50","1,367.50","1,370.00","1,334.50",102.60K,-2.21%
12/29/2021,"1,368.75","1,367.25","1,372.50","1,355.00",110.45K,0.05%
12/28/2021,"1,368.00","1,370.00","1,384.50","1,363.25",107.54K,-0.26%
12/27/2021,"1,371.50","1,345.75","1,372.75","1,342.50",103.76K,2.16%
12/24/2021,"1,342.50","1,342.50","1,342.50","1,342.50",,0.13%
12/23/2021,"1,340.75","1,333.00","1,342.50","1,328.00",90.26K,0.43%
12/22/2021,"1,335.00","1,310.50","1,339.00","1,309.50",105.91K,1.69%
12/21/2021,"1,312.75","1,294.50","1,317.50","1,289.00",100.58K,1.39%
12/20/2021,"1,294.75","1,292.00","1,298.00","1,280.50",70.14K,0.49%
12/17/2021,"1,288.50","1,277.25","1,298.25","1,276.00",103.74K,0.80%
12/16/2021,"1,278.25","1,264.00","1,281.50","1,261.50",92.49K,1.03%
12/15/2021,"1,265.25","1,265.00","1,270.00","1,254.00",74.63K,0.06%
